Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SAN SEBASTIAN CALLE 116,BIOMAX,CARRERA 72 No. 98-60 - 68 - 74 - 82,BIODIESEL EXTRA,8890,A,CARRERA 72 No. 98-60 - 68 - 74 - 82,"CARRERA 72 No. 98-60 - 68 - 74 - 82, Bogota  d.c., Colombia","(4.69022, -74.09266)",4.69022,-74.09266
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SAN SEBASTIAN CALLE 116,BIOMAX,CARRERA 72 No. 98-60 - 68 - 74 - 82,GASOLINA EXTRA OXIGENADA,16350,A,CARRERA 72 No. 98-60 - 68 - 74 - 82,"CARRERA 72 No. 98-60 - 68 - 74 - 82, Bogota  d.c., Colombia","(4.69022, -74.09266)",4.69022,-74.09266
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SAN SEBASTIAN CALLE 116,BIOMAX,CARRERA 72 No. 98-60 - 68 - 74 - 82,GASOLINA CORRIENTE OXIGENADA,9040,A,CARRERA 72 No. 98-60 - 68 - 74 - 82,"CARRERA 72 No. 98-60 - 68 - 74 - 82, Bogota  d.c., Colombia","(4.69022, -74.09266)",4.69022,-74.09266
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SAN FERNANDO,MOBIL,Carrera 57 No. 68-27 Esquina,GASOLINA CORRIENTE OXIGENADA,8789,A,Carrera 57 No. 68-27 Esquina,"Carrera 57 No. 68-27 Esquina, Bogota  d.c., Colombia","(4.6687, -74.07959)",4.6687,-74.07959
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SAN FERNANDO,MOBIL,Carrera 57 No. 68-27 Esquina,GASOLINA EXTRA OXIGENADA,8789,A,Carrera 57 No. 68-27 Esquina,"Carrera 57 No. 68-27 Esquina, Bogota  d.c., Colombia","(4.6687, -74.07959)",4.6687,-74.07959
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO SAN FERNANDO,MOBIL,Carrera 57 No. 68-27 Esquina,BIODIESEL EXTRA,10199,A,Carrera 57 No. 68-27 Esquina,"Carrera 57 No. 68-27 Esquina, Bogota  d.c., Colombia","(4.6687, -74.07959)",4.6687,-74.07959
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO ESTRELLA DE ORIENTE GENERGY,BIOMAX,TRANSVERSAL 14 ESTE No. 73-43 SUR,BIODIESEL EXTRA,9015,A,TRANSVERSAL 14 ESTE No. 73-43 SUR,"TRANSVERSAL 14 ESTE No. 73-43 SUR, Bogota  d.c., Colombia","(4.51851, -74.09091)",4.51851,-74.09091
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO ESTRELLA DE ORIENTE GENERGY,BIOMAX,TRANSVERSAL 14 ESTE No. 73-43 SUR,GASOLINA CORRIENTE OXIGENADA,9200,A,TRANSVERSAL 14 ESTE No. 73-43 SUR,"TRANSVERSAL 14 ESTE No. 73-43 SUR, Bogota  d.c., Colombia","(4.51851, -74.09091)",4.51851,-74.09091
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO GREEN EDS CODAVAS,TEXACO,CARRERA 7 No. 181 A - 16,BIODIESEL EXTRA,9220,A,CARRERA 7 No. 181 A - 16,"CARRERA 7 No. 181 A - 16, Bogota  d.c., Colombia","(4.5894, -74.08027)",4.5894,-74.08027
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO GREEN EDS CODAVAS,TEXACO,CARRERA 7 No. 181 A - 16,GASOLINA CORRIENTE OXIGENADA,9550,A,CARRERA 7 No. 181 A - 16,"CARRERA 7 No. 181 A - 16, Bogota  d.c., Colombia","(4.5894, -74.08027)",4.5894,-74.08027
