Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO QUIBA S.A.S,OCTANO,BUENA VISTA - CIUDAD BOLIVAR,BIODIESEL EXTRA,9152,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO AUTOMOTRIZ CARRERA 10,TERPEL,CARRERA 10 No. 31 - 50 SUR,GASOLINA EXTRA OXIGENADA,15779,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO AUTOMOTRIZ CARRERA 10,TERPEL,CARRERA 10 No. 31 - 50 SUR,GASOLINA CORRIENTE OXIGENADA,9179,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO AUTOMOTRIZ CARRERA 10,TERPEL,CARRERA 10 No. 31 - 50 SUR,BIODIESEL EXTRA,9019,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 151,PETROMIL,AV. CARRERA 19 N° 151 - 23,BIODIESEL EXTRA,9169,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 151,PETROMIL,AV. CARRERA 19 N° 151 - 23,GASOLINA EXTRA OXIGENADA,16499,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 151,PETROMIL,AV. CARRERA 19 N° 151 - 23,GASOLINA CORRIENTE OXIGENADA,9099,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 151,PETROMIL,AV. CARRERA 19 N° 151 - 23,GASOLINA EXTRA OXIGENADA,16690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 151,PETROMIL,AV. CARRERA 19 N° 151 - 23,GASOLINA CORRIENTE OXIGENADA,8899,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 151,PETROMIL,AV. CARRERA 19 N° 151 - 23,BIODIESEL EXTRA,9169,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 151,PETROMIL,AV. CARRERA 19 N° 151 - 23,GASOLINA EXTRA OXIGENADA,16099,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 151,PETROMIL,AV. CARRERA 19 N° 151 - 23,GASOLINA CORRIENTE OXIGENADA,9099,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PETROMIL BAZAR 151,PETROMIL,AV. CARRERA 19 N° 151 - 23,BIODIESEL EXTRA,9169,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO SANTA ROSA,ESSO,AC 24 No 116 - 19,BIODIESEL EXTRA,8840,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS COESCO SANTA ROSA,ESSO,AC 24 No 116 - 19,GASOLINA CORRIENTE OXIGENADA,8859,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL BAZAR 183,PETROMIL,AC 183 No. 7 A - 57,GASOLINA CORRIENTE OXIGENADA,8899,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL BAZAR 183,PETROMIL,AC 183 No. 7 A - 57,BIODIESEL EXTRA,9169,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL BAZAR 183,PETROMIL,AC 183 No. 7 A - 57,GASOLINA EXTRA OXIGENADA,16099,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL BAZAR 183,PETROMIL,AC 183 No. 7 A - 57,GASOLINA EXTRA OXIGENADA,16499,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL BAZAR 183,PETROMIL,AC 183 No. 7 A - 57,BIODIESEL EXTRA,9169,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL BAZAR 183,PETROMIL,AC 183 No. 7 A - 57,GASOLINA CORRIENTE OXIGENADA,9099,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL BAZAR 183,PETROMIL,AC 183 No. 7 A - 57,GASOLINA CORRIENTE OXIGENADA,9099,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL BAZAR 183,PETROMIL,AC 183 No. 7 A - 57,BIODIESEL EXTRA,9169,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO TERPEL BAZAR 183,PETROMIL,AC 183 No. 7 A - 57,GASOLINA EXTRA OXIGENADA,16690,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS ENERMARKET KRA 72,ESSO,AVENIDA CARRERA 72 No 31 - 40 SUR,GASOLINA CORRIENTE OXIGENADA,8729,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS ENERMARKET KRA 72,ESSO,AVENIDA CARRERA 72 No 31 - 40 SUR,BIODIESEL EXTRA,8589,A
